22:31:13 macro number 921 / 3982, complete paths 0, partial paths 179000 (to-do list 30 / 66)
22:31:42 macro number 921 / 3982, complete paths 0, partial paths 180000 (to-do list 19 / 66)
22:32:12 macro number 921 / 3982, complete paths 0, partial paths 181000 (to-do list 8 / 66)
22:32:41 macro number 921 / 3982, complete paths 0, partial paths 182000 (to-do list 25 / 66)
22:33:11 macro number 921 / 3982, complete paths 0, partial paths 183000 (to-do list 8 / 66)
22:33:39 macro number 922 / 3982, complete paths 0, partial paths 184000 (to-do list 40 / 66)
22:34:09 macro number 922 / 3982, complete paths 0, partial paths 185000 (to-do list 27 / 66)
22:34:38 macro number 922 / 3982, complete paths 0, partial paths 186000 (to-do list 29 / 66)
22:35:07 macro number 922 / 3982, complete paths 0, partial paths 187000 (to-do list 33 / 66)
22:35:37 macro number 922 / 3982, complete paths 0, partial paths 188000 (to-do list 21 / 66)
22:36:06 macro number 922 / 3982, complete paths 0, partial paths 189000 (to-do list 38 / 66)
22:36:36 macro number 922 / 3982, complete paths 0, partial paths 190000 (to-do list 23 / 66)
22:37:05 macro number 922 / 3982, complete paths 0, partial paths 191000 (to-do list 14 / 66)
22:37:34 macro number 922 / 3982, complete paths 0, partial paths 192000 (to-do list 32 / 66)
22:38:04 macro number 922 / 3982, complete paths 0, partial paths 193000 (to-do list 19 / 66)
22:38:33 macro number 922 / 3982, complete paths 0, partial paths 194000 (to-do list 34 / 66)
22:39:03 macro number 922 / 3982, complete paths 0, partial paths 195000 (to-do list 23 / 66)
22:39:32 macro number 922 / 3982, complete paths 0, partial paths 196000 (to-do list 13 / 66)
22:40:01 macro number 922 / 3982, complete paths 0, partial paths 197000 (to-do list 30 / 66)
22:40:31 macro number 922 / 3982, complete paths 0, partial paths 198000 (to-do list 15 / 66)
22:41:00 macro number 922 / 3982, complete paths 0, partial paths 199000 (to-do list 34 / 66)
22:41:29 macro number 922 / 3982, complete paths 0, partial paths 200000 (to-do list 22 / 66)
22:41:59 macro number 922 / 3982, complete paths 0, partial paths 201000 (to-do list 11 / 66)
22:42:28 macro number 922 / 3982, complete paths 0, partial paths 202000 (to-do list 27 / 66)
22:42:58 macro number 922 / 3982, complete paths 0, partial paths 203000 (to-do list 15 / 66)
22:43:27 macro number 922 / 3982, complete paths 0, partial paths 204000 (to-do list 15 / 66)
22:43:57 macro number 922 / 3982, complete paths 0, partial paths 205000 (to-do list 14 / 66)
22:44:26 macro number 922 / 3982, complete paths 0, partial paths 206000 (to-do list 14 / 66)
22:44:55 macro number 923 / 3982, complete paths 0, partial paths 207000 (to-do list 27 / 66)
22:45:24 macro number 923 / 3982, complete paths 0, partial paths 208000 (to-do list 34 / 66)
22:45:54 macro number 923 / 3982, complete paths 0, partial paths 209000 (to-do list 21 / 66)
22:46:23 macro number 923 / 3982, complete paths 0, partial paths 210000 (to-do list 36 / 66)
22:46:52 macro number 923 / 3982, complete paths 0, partial paths 211000 (to-do list 25 / 66)
22:47:22 macro number 923 / 3982, complete paths 0, partial paths 212000 (to-do list 15 / 66)
22:47:51 macro number 923 / 3982, complete paths 0, partial paths 213000 (to-do list 32 / 66)
22:48:21 macro number 923 / 3982, complete paths 0, partial paths 214000 (to-do list 17 / 66)
22:48:49 macro number 923 / 3982, complete paths 0, partial paths 215000 (to-do list 36 / 66)
22:49:19 macro number 923 / 3982, complete paths 0, partial paths 216000 (to-do list 24 / 66)
22:49:49 macro number 923 / 3982, complete paths 0, partial paths 217000 (to-do list 13 / 66)
22:50:18 macro number 923 / 3982, complete paths 0, partial paths 218000 (to-do list 29 / 66)
22:50:47 macro number 923 / 3982, complete paths 0, partial paths 219000 (to-do list 17 / 66)
22:51:16 macro number 923 / 3982, complete paths 0, partial paths 220000 (to-do list 38 / 66)
22:51:46 macro number 923 / 3982, complete paths 0, partial paths 221000 (to-do list 26 / 66)
22:52:16 macro number 923 / 3982, complete paths 0, partial paths 222000 (to-do list 10 / 66)
22:52:45 macro number 923 / 3982, complete paths 0, partial paths 223000 (to-do list 27 / 66)
22:53:14 macro number 923 / 3982, complete paths 0, partial paths 224000 (to-do list 19 / 66)
22:53:43 macro number 923 / 3982, complete paths 0, partial paths 225000 (to-do list 37 / 66)
22:54:13 macro number 923 / 3982, complete paths 0, partial paths 226000 (to-do list 24 / 66)
22:54:43 macro number 923 / 3982, complete paths 0, partial paths 227000 (to-do list 8 / 66)
22:55:12 macro number 923 / 3982, complete paths 0, partial paths 228000 (to-do list 9 / 66)
22:55:41 macro number 923 / 3982, complete paths 0, partial paths 229000 (to-do list 11 / 66)
22:56:11 macro number 923 / 3982, complete paths 0, partial paths 230000 (to-do list 8 / 66)
22:56:39 macro number 924 / 3982, complete paths 0, partial paths 231000 (to-do list 34 / 66)
22:57:09 macro number 924 / 3982, complete paths 0, partial paths 232000 (to-do list 21 / 66)
22:57:39 macro number 924 / 3982, complete paths 0, partial paths 233000 (to-do list 34 / 66)
22:58:09 macro number 924 / 3982, complete paths 0, partial paths 234000 (to-do list 17 / 66)
22:58:38 macro number 924 / 3982, complete paths 0, partial paths 235000 (to-do list 30 / 66)
22:59:07 macro number 924 / 3982, complete paths 0, partial paths 236000 (to-do list 43 / 66)
22:59:37 macro number 924 / 3982, complete paths 0, partial paths 237000 (to-do list 24 / 66)
23:00:06 macro number 924 / 3982, complete paths 0, partial paths 238000 (to-do list 37 / 66)
23:00:37 macro number 924 / 3982, complete paths 0, partial paths 239000 (to-do list 18 / 66)
23:01:06 macro number 924 / 3982, complete paths 0, partial paths 240000 (to-do list 31 / 66)
23:01:36 macro number 924 / 3982, complete paths 0, partial paths 241000 (to-do list 13 / 66)
23:02:05 macro number 924 / 3982, complete paths 0, partial paths 242000 (to-do list 26 / 66)
23:02:35 macro number 924 / 3982, complete paths 0, partial paths 243000 (to-do list 8 / 66)
23:03:04 macro number 924 / 3982, complete paths 0, partial paths 244000 (to-do list 21 / 66)
23:03:34 macro number 924 / 3982, complete paths 0, partial paths 245000 (to-do list 18 / 66)
23:04:04 macro number 924 / 3982, complete paths 0, partial paths 246000 (to-do list 13 / 66)
23:04:34 macro number 924 / 3982, complete paths 0, partial paths 247000 (to-do list 5 / 66)
23:05:02 macro number 925 / 3982, complete paths 0, partial paths 248000 (to-do list 29 / 66)
23:05:32 macro number 925 / 3982, complete paths 0, partial paths 249000 (to-do list 26 / 66)
23:06:01 macro number 925 / 3982, complete paths 0, partial paths 250000 (to-do list 29 / 66)
23:06:30 macro number 925 / 3982, complete paths 0, partial paths 251000 (to-do list 42 / 66)
23:07:00 macro number 925 / 3982, complete paths 0, partial paths 252000 (to-do list 23 / 66)
23:07:29 macro number 925 / 3982, complete paths 0, partial paths 253000 (to-do list 36 / 66)
23:07:59 macro number 925 / 3982, complete paths 0, partial paths 254000 (to-do list 16 / 66)
23:08:28 macro number 925 / 3982, complete paths 0, partial paths 255000 (to-do list 29 / 66)
23:08:57 macro number 925 / 3982, complete paths 0, partial paths 256000 (to-do list 13 / 66)
23:09:26 macro number 925 / 3982, complete paths 0, partial paths 257000 (to-do list 26 / 66)
23:09:56 macro number 925 / 3982, complete paths 0, partial paths 258000 (to-do list 31 / 66)
23:10:25 macro number 925 / 3982, complete paths 0, partial paths 259000 (to-do list 21 / 66)
23:10:54 macro number 925 / 3982, complete paths 0, partial paths 260000 (to-do list 34 / 66)
23:11:24 macro number 925 / 3982, complete paths 0, partial paths 261000 (to-do list 13 / 66)
23:11:53 macro number 925 / 3982, complete paths 0, partial paths 262000 (to-do list 13 / 66)
23:12:23 macro number 925 / 3982, complete paths 0, partial paths 263000 (to-do list 5 / 66)
23:12:51 macro number 926 / 3982, complete paths 0, partial paths 264000 (to-do list 46 / 66)
23:13:21 macro number 926 / 3982, complete paths 0, partial paths 265000 (to-do list 24 / 66)
23:13:50 macro number 926 / 3982, complete paths 0, partial paths 266000 (to-do list 37 / 66)
23:14:20 macro number 926 / 3982, complete paths 0, partial paths 267000 (to-do list 21 / 66)
23:14:49 macro number 926 / 3982, complete paths 0, partial paths 268000 (to-do list 34 / 66)
23:15:19 macro number 926 / 3982, complete paths 0, partial paths 269000 (to-do list 18 / 66)
23:15:48 macro number 926 / 3982, complete paths 0, partial paths 270000 (to-do list 31 / 66)
23:16:17 macro number 926 / 3982, complete paths 0, partial paths 271000 (to-do list 11 / 66)
23:16:46 macro number 926 / 3982, complete paths 0, partial paths 272000 (to-do list 24 / 66)
23:17:15 macro number 926 / 3982, complete paths 0, partial paths 273000 (to-do list 37 / 66)
23:17:45 macro number 926 / 3982, complete paths 0, partial paths 274000 (to-do list 18 / 66)
23:18:14 macro number 926 / 3982, complete paths 0, partial paths 275000 (to-do list 31 / 66)
23:18:44 macro number 926 / 3982, complete paths 0, partial paths 276000 (to-do list 16 / 66)
23:19:13 macro number 926 / 3982, complete paths 0, partial paths 277000 (to-do list 29 / 66)
23:19:43 macro number 926 / 3982, complete paths 0, partial paths 278000 (to-do list 7 / 66)
23:20:12 macro number 926 / 3982, complete paths 0, partial paths 279000 (to-do list 16 / 66)
23:20:42 macro number 926 / 3982, complete paths 0, partial paths 280000 (to-do list 10 / 66)
23:21:10 macro number 927 / 3982, complete paths 0, partial paths 281000 (to-do list 39 / 66)
23:21:40 macro number 927 / 3982, complete paths 0, partial paths 282000 (to-do list 19 / 66)
23:22:10 macro number 927 / 3982, complete paths 0, partial paths 283000 (to-do list 32 / 66)
23:22:40 macro number 927 / 3982, complete paths 0, partial paths 284000 (to-do list 16 / 66)
23:23:09 macro number 927 / 3982, complete paths 0, partial paths 285000 (to-do list 29 / 66)
23:23:38 macro number 927 / 3982, complete paths 0, partial paths 286000 (to-do list 42 / 66)
23:24:08 macro number 927 / 3982, complete paths 0, partial paths 287000 (to-do list 23 / 66)
23:24:37 macro number 927 / 3982, complete paths 0, partial paths 288000 (to-do list 36 / 66)
23:25:07 macro number 927 / 3982, complete paths 0, partial paths 289000 (to-do list 16 / 66)
23:25:37 macro number 927 / 3982, complete paths 0, partial paths 290000 (to-do list 29 / 66)
23:26:07 macro number 927 / 3982, complete paths 0, partial paths 291000 (to-do list 13 / 66)
23:26:36 macro number 927 / 3982, complete paths 0, partial paths 292000 (to-do list 26 / 66)
23:27:06 macro number 927 / 3982, complete paths 0, partial paths 293000 (to-do list 11 / 66)
23:27:35 macro number 927 / 3982, complete paths 0, partial paths 294000 (to-do list 24 / 66)
23:28:05 macro number 927 / 3982, complete paths 0, partial paths 295000 (to-do list 19 / 66)
23:28:34 macro number 927 / 3982, complete paths 0, partial paths 296000 (to-do list 10 / 66)
23:29:04 macro number 927 / 3982, complete paths 0, partial paths 297000 (to-do list 5 / 66)
23:29:33 macro number 929 / 3982, complete paths 0, partial paths 298000 (to-do list 34 / 66)
23:30:02 macro number 931 / 3982, complete paths 0, partial paths 299000 (to-do list 31 / 66)
23:30:31 macro number 932 / 3982, complete paths 0, partial paths 300000 (to-do list 40 / 66)
23:31:01 macro number 935 / 3982, complete paths 0, partial paths 301000 (to-do list 5 / 66)
23:31:31 macro number 937 / 3982, complete paths 0, partial paths 302000 (to-do list 4 / 66)
23:32:00 macro number 943 / 3982, complete paths 0, partial paths 303000 (to-do list 7 / 66)
23:32:30 macro number 946 / 3982, complete paths 0, partial paths 304000 (to-do list 6 / 66)
23:32:59 macro number 949 / 3982, complete paths 0, partial paths 305000 (to-do list 6 / 66)
23:33:29 macro number 952 / 3982, complete paths 0, partial paths 306000 (to-do list 2 / 66)
23:33:58 macro number 953 / 3982, complete paths 0, partial paths 307000 (to-do list 3 / 66)
23:34:27 macro number 955 / 3982, complete paths 0, partial paths 308000 (to-do list 20 / 66)
23:34:56 macro number 955 / 3982, complete paths 0, partial paths 309000 (to-do list 14 / 66)
23:35:25 macro number 955 / 3982, complete paths 0, partial paths 310000 (to-do list 26 / 66)
